County,FacilityName,confirmed_cases,deaths,CFR,outbreaks
Cook,Ludeman Developmental Center,263,9,0.034220532319391636,1
Cook,City View Multi Care Center,249,15,0.060240963855421686,1
Kankakee,Samuel H. Shapiro Developmental Center,232,1,0.004310344827586207,2
Lake,Avantara Long Grove,228,32,0.14035087719298245,1
Cook,Peterson Park Health Care,221,35,0.1583710407239819,2
Cook,Symphony at Midway,220,27,0.12272727272727273,2
Cook,Woodbridge Nursing Pavilion,219,40,0.182648401826484,1
Cook,Niles Nursing and Rehab Center,216,54,0.25,2
Cook,Symphony of Morgan Park,202,26,0.12871287128712872,1
Cook,Symphony of South Shore,197,29,0.14720812182741116,2
Cook,Symphony of Lincoln Park,197,30,0.15228426395939088,2
Cook,Glenview Terrace,190,33,0.1736842105263158,1
Will,Meadowbrook Manor of Bolingbrook,188,41,0.21808510638297873,1
Cook,Aperion Care International of Chicago,187,27,0.1443850267379679,1
Cook,Elevate Care Chicago North,184,34,0.18478260869565216,2
Cook,Symphony at 87th,179,33,0.18435754189944134,1
Lake,Hillcrest Retirement Village,178,18,0.10112359550561797,1
Kane,Tower Hill Healthcare Center,173,30,0.17341040462427745,2
DuPage,Manorcare Hinsdale,168,37,0.22023809523809523,2
Cook,Norridge Gardens,167,46,0.2754491017964072,1
Cook,Villa at Windsor Park,162,44,0.2716049382716049,2
Cook,California Gardens Nursing and Rehabilitation Cent,157,6,0.03821656050955414,1
Cook,Mayfield Care Center,154,23,0.14935064935064934,1
DuPage,Bria of Westmont,152,29,0.19078947368421054,1
Cook,Fairmont Care,151,32,0.2119205298013245,1
Cook,Bria Forest Edge,150,2,0.013333333333333334,1
Cook,Bria River Oaks,145,2,0.013793103448275862,1
Kane,Bria of Geneva,145,30,0.20689655172413793,1
Cook,Midway Neuro and Rehab,142,12,0.08450704225352113,1
Cook,Harmony Healthcare and Rehab,139,29,0.20863309352517986,2
LaSalle,Liberty Village of Peru - Manor Court,138,13,0.09420289855072464,1
Cook,Generations at Regency,133,33,0.24812030075187969,2
Will,symphony of joliet,130,25,0.19230769230769232,1
Kane,Symphony of Orchard Valley,126,24,0.19047619047619047,2
Cook,Clark Manor,126,15,0.11904761904761904,2
Lee,Jack Mabley Developmental Center,125,1,0.008,2
Cook,Golfview Developmental Center,123,11,0.08943089430894309,1
Cook,Mosaic of Lakeshore,122,29,0.23770491803278687,1
Sangamon,Villa East,122,26,0.21311475409836064,1
Williamson,Shawnee Senior Living,121,18,0.1487603305785124,1
Cook,Uptown Health Center,120,18,0.15,1
Cook,Center Home for Hispanic Elderly,120,30,0.25,1
Cook,Ambassador Nursing,119,9,0.07563025210084033,2
DuPage,Forestview Rehabilitation & Nursing Center,118,18,0.15254237288135594,1
Cook,Grosse Pointe Manor,118,25,0.211864406779661,1
DuPage,West Suburban Nursing & Rehabilitation Center,118,17,0.1440677966101695,1
LaSalle,Heritage Health Mendota,116,24,0.20689655172413793,1
Marion,Odin Care Center,115,9,0.0782608695652174,1
Cook,ManorCare ElkGrove Village,114,25,0.21929824561403508,1
Rock Island,Centennial Care Center,113,16,0.1415929203539823,1
Cook,Carlton at the Lake,112,20,0.17857142857142858,2
Cook,Alden Town Manor Rehabilitation & Health Care Cent,111,20,0.18018018018018017,1
Madison,Stearns Nursing and Rehabilitation Center,111,20,0.18018018018018017,1
Lawrence,Aperion HealthCare,111,5,0.04504504504504504,1
Cook,Avanti Wellness & Rehabilitation ,110,17,0.15454545454545454,1
Kankakee,Riverside Miller Rehabilitation,110,22,0.2,2
Cook,Windsor Estates,109,23,0.21100917431192662,1
Richland,Richland Nursing and Rehab,109,15,0.13761467889908258,1
DuPage,Windsor Park Manor,109,21,0.1926605504587156,1
Cook,Austin Oasis,107,16,0.14953271028037382,2
DuPage,Alden Estates of Naperville,106,21,0.19811320754716982,2
Madison,Edwardsville Care Center,106,22,0.20754716981132076,2
Cook,Addolorata Villa,106,20,0.18867924528301888,2
Cook,Lee Manor Rehab and Nursing,104,20,0.19230769230769232,1
St. Clair,Four Fountains,104,31,0.2980769230769231,1
Cook,Astoria Place of Chicago,104,20,0.19230769230769232,1
Will,Beecher Manor ,104,15,0.14423076923076922,1
Monroe,Oak Hill,103,13,0.1262135922330097,1
Cook,Aperion Care Oak Lawn,103,22,0.21359223300970873,1
DuPage,Oakbrook Care,103,24,0.23300970873786409,1
Greene,White Hall Nursing and Rehab,102,15,0.14705882352941177,1
Cook,Bria of Palos Hills,102,18,0.17647058823529413,1
Cook,Norwood crossing Skilled Nursing,101,18,0.1782178217821782,1
Cook,Bellhaven Nursing and Rehabilitation,101,9,0.0891089108910891,1
Jersey,Liberty Village of Jerseyville,100,18,0.18,1
Macon,Villa Clara Post Acute,100,12,0.12,1
Cook,Atrium Health Care Center,99,10,0.10101010101010101,1
Lake,Symphony Buffalo Grove,99,10,0.10101010101010101,1
Will,Presence Villa Franciscan,99,17,0.1717171717171717,2
Will,Salem Village NH,98,5,0.05102040816326531,1
Cook,Central Nursing Home,98,17,0.17346938775510204,1
Cook,Avantara Evergreen Park,98,22,0.22448979591836735,2
Coles,Mattoon Rehabilitation and Health Care Center,98,1,0.01020408163265306,1
Lake,Aperion Care Highwood,98,13,0.1326530612244898,1
DuPage,The Grove of Elmhurst,98,15,0.15306122448979592,1
Cook,Chalet Living And Rehab Center,97,14,0.14432989690721648,1
Shelby,Shelbyville Manor,97,9,0.09278350515463918,2
Cook,Alden Estates of Northmoor,97,19,0.1958762886597938,1
Cook,Landmark of Des Plaines,95,22,0.23157894736842105,1
Macon,Fairhavens Senior Living,95,21,0.22105263157894736,1
Coles,Charleston Rehab and Healthcare,95,17,0.17894736842105263,1
Williamson,Parkway Manor,94,21,0.22340425531914893,1
Lake,Warren Barr North Shore,94,17,0.18085106382978725,1
Mason,Mason City Area Nursing Home ,94,9,0.09574468085106383,1
Cook,Lakeview Nursing and Rehab,93,22,0.23655913978494625,2
Peoria,Heritage Health,92,11,0.11956521739130435,1
Kane,Asbury Gardens,92,19,0.20652173913043478,1
Cook,Alden Lakeland,92,2,0.021739130434782608,3
Cook,Alden PoplarCreek,91,26,0.2857142857142857,1
Jefferson,Mt. Vernon Healthcare Center,91,17,0.18681318681318682,1
McHenry,Alden Terrace of McHenry,89,13,0.14606741573033707,1
Cook,Glenwood Health Care & Rehab,89,6,0.06741573033707865,1
Rock Island,St. Anthonys Continue Care,89,15,0.16853932584269662,1
Madison,Meridian Village,89,5,0.056179775280898875,1
Cook,Generations at Elmwood Park,89,19,0.21348314606741572,1
Boone,Symphony Northwoods,89,16,0.1797752808988764,1
Christian,taylorville care center,89,16,0.1797752808988764,1
Cook,The Grove of Evanston,89,19,0.21348314606741572,1
Will,Frankfort Terrace,88,2,0.022727272727272728,1
Cook,Bella Terra Wheeling,88,19,0.2159090909090909,1
Kankakee,Illinois Veterans Home,88,18,0.20454545454545456,1
Winnebago,Ascension St Anne Center,88,15,0.17045454545454544,1
Cook,Manor Care Oak Lawn EAST. Cook,86,19,0.22093023255813954,1
McHenry,Crystal Pines Rehabilitation & Hlth Care Facility,86,15,0.1744186046511628,1
Will,St James Manor,86,24,0.27906976744186046,1
Cook,Birchwood Plaza Nursing-Rehab,85,15,0.17647058823529413,1
Cook,Beacon Care Center,85,14,0.16470588235294117,2
Will,Lakewood Nursing Home,85,6,0.07058823529411765,3
Clinton,Carlyle HealthCare Center,85,15,0.17647058823529413,1
DuPage,DuPage Care Center,85,4,0.047058823529411764,1
Cook,MADO Healthcare Uptown,84,9,0.10714285714285714,1
Winnebago,Forest City Rehab and Nursing,83,9,0.10843373493975904,1
Cook,Generations at Applewood,83,20,0.24096385542168675,1
Cook,Meadowbrook Manor,83,13,0.1566265060240964,2
Winnebago,River Bluff Nursing Home,82,10,0.12195121951219512,2
Cook,Elevate Care Northbrook,82,18,0.21951219512195122,1
Union,Integrity of Anna,82,13,0.15853658536585366,1
DeKalb,Pine Acres,82,12,0.14634146341463414,1
Cook,ManorCare Oak Lawn West,82,18,0.21951219512195122,1
Madison,University Care Center,82,2,0.024390243902439025,3
Cook,South Suburban Rehab Center,81,20,0.24691358024691357,1
Cook,Community Care Nursing Home,81,9,0.1111111111111111,1
Morgan,Jacksonville Skilled Nursing and Rehab Center,81,18,0.2222222222222222,1
Cook,Southpoint Nsg and Rehab,81,11,0.13580246913580246,1
Lake,Alden Long Grove,80,21,0.2625,1
Cook,Buckingham Pavilion,80,13,0.1625,2
St. Clair,Cedar Ridge,79,13,0.16455696202531644,1
Madison,Eden Village Care Center,79,21,0.26582278481012656,2
Winnebago,Alden Debes Rehab Inc,79,20,0.25316455696202533,1
Cook,Elevate Care Irving Park,78,13,0.16666666666666666,2
DuPage,Providence Healthcare & Rehabilitation Center,78,18,0.23076923076923078,2
Cook,Alden Lincoln Park Rehab,78,12,0.15384615384615385,2
Carroll,Big Meadows Nursing Home,78,2,0.02564102564102564,1
Iroquois,Gilman Health Care Center,78,14,0.1794871794871795,1
Cook,Continental Nursing and Rehabilitation Center,78,12,0.15384615384615385,1
St. Clair,Lebanon Care Center ,78,13,0.16666666666666666,1
Cook,Lexington Health Care Orland Park,77,18,0.23376623376623376,1
Cook,Dobson Plaza,77,21,0.2727272727272727,1
Cook,Lieberman Geriatric Center,76,8,0.10526315789473684,1
Kane,Citadel of Elgin,75,10,0.13333333333333333,2
Cook,Bella Terra Morton Grove,74,11,0.14864864864864866,1
Lake,Riverside Foundation,74,5,0.06756756756756757,1
DuPage,Abbington Rehab & Nursing Center,74,6,0.08108108108108109,1
Cook,Central Plaza,74,1,0.013513513513513514,1
Lake,Bayside Terrace,74,2,0.02702702702702703,1
Lake,Elevate Care Waukegan,74,13,0.17567567567567569,1
Kankakee,Citadel of Kankakee,73,2,0.0273972602739726,1
Perry,Pinckneyville Nursing and Rehabilitation,73,11,0.1506849315068493,1
Jefferson,GreenTree at Mt. Vernon,73,16,0.2191780821917808,1
DuPage,Lexington of Bloomingdale,72,21,0.2916666666666667,1
Peoria,Apostolic Christian Skyline,72,7,0.09722222222222222,1
Cook,Smith Village,72,14,0.19444444444444445,2
Winnebago,Amberwood,72,11,0.1527777777777778,1
Cook,Chicago Ridge Nursing and Rehab,71,17,0.23943661971830985,1
McHenry,Cross Roads Care Center,71,13,0.18309859154929578,1
Cook,Alden Wentworth  Rehab & Healthcare Center,71,15,0.2112676056338028,1
Cook,Warren Barr Gold Coast,71,4,0.056338028169014086,1
Will,Sunny Hill Nursing Home,71,16,0.22535211267605634,2
Ford,Piper City Rehab,71,11,0.15492957746478872,2
Madison,Riverside Rehab and Healthcare,71,17,0.23943661971830985,2
Coles,Hilltop Skilled Nursing,70,5,0.07142857142857142,1
De Witt,Liberty Village,70,7,0.1,1
St. Clair,BRIA of Belleville,70,8,0.11428571428571428,1
Cook,Waterfront Terrace,69,13,0.18840579710144928,1
McHenry,Hearthstone Manor ,69,7,0.10144927536231885,1
Cook,Misericordia,69,2,0.028985507246376812,2
DuPage,Bridgeway Senior Living,69,7,0.10144927536231885,1
DeKalb,Willow Crest Nursing Pavilion,68,15,0.22058823529411764,1
Sangamon,Brother James Court,68,2,0.029411764705882353,1
Cook,Arden Courts/Manor Care of South Holland ,68,8,0.11764705882352941,1
Will,The PARC of Joliet,68,17,0.25,1
Lake,Wauconda Care,67,16,0.23880597014925373,2
Cook,ManorCare Palos Heights East,67,12,0.1791044776119403,1
Cook,Countryside Nursing and Rehab Center,67,11,0.16417910447761194,1
Lake,Whitehall of Deerfield,67,3,0.04477611940298507,1
Cook,Warren Barr Lincoln Park,66,11,0.16666666666666666,2
Lake,Belmont Village of Buffalo Grove,66,19,0.2878787878787879,1
DuPage,Terra Vista of Oakbrook Terrace,66,6,0.09090909090909091,2
Cook,Bridgeview HC,66,15,0.22727272727272727,1
Tazewell,Aperion Morton,65,6,0.09230769230769231,1
Fayette,Aperion Care St Elmo,65,11,0.16923076923076924,1
Cook,Symphony of Bronzeville,64,17,0.265625,1
Tazewell,Villas of Holly Brook & Reflections Pekin,64,11,0.171875,1
Cook,Citadel of Waterford,64,13,0.203125,1
Morgan,Aperion Care Jacksonville,64,6,0.09375,1
Cook,Generations At Oakton,64,13,0.203125,2
Lake,Claridge Health Center,63,18,0.2857142857142857,1
St. Clair,Integrity Care of Smithton,63,10,0.15873015873015872,1
Madison,Alton Memorial Rehab and Therapy,63,11,0.1746031746031746,1
Cook,Westwood Manor,63,2,0.031746031746031744,1
Knox,Seminary Manor,63,8,0.12698412698412698,1
Tazewell,Timbercreek Rehab and Healthcare,62,10,0.16129032258064516,1
Clinton,Warrren G Murray Develpmental Center,62,0,0.0,1
Clark,Heartland Manor Nursing home,62,15,0.24193548387096775,1
Madison,Integrity of Godfrey,61,8,0.13114754098360656,1
Cook,Little Sisters of the Poor/St. Marys Home,61,13,0.21311475409836064,1
Clay,Flora Gardens,61,12,0.19672131147540983,1
Madison,Beverly Farm Foundation,60,1,0.016666666666666666,1
Cook,Arbour Health Care Center,60,3,0.05,2
Cook,Symphony of Chicago West,60,7,0.11666666666666667,2
Knox,Serenity of Lake Storey,60,4,0.06666666666666667,1
Lake,Elevate Care Riverwoods,59,12,0.2033898305084746,1
McLean,Bloomington Rehabilitation and Healthcare Center,59,11,0.1864406779661017,1
Lake,The Grove By the Lake,59,9,0.15254237288135594,1
St. Clair,Dammert Center/The Esquiline2,59,7,0.11864406779661017,1
Cook,Aperion Care Plum Grove,58,19,0.3275862068965517,1
Cook,Lutheran Home,58,9,0.15517241379310345,2
Randolph,Red Bud Regional Care Center,58,1,0.017241379310344827,1
Cook,Estates of Hyde Park,57,12,0.21052631578947367,1
Cass,Walker Nursing Home,57,11,0.19298245614035087,1
St. Clair,New Athens Home for the Aged,57,8,0.14035087719298245,1
Cook,The Grove of Berwyn,57,14,0.24561403508771928,1
DuPage,Chateau Center Nursing & Rehabilitation,57,14,0.24561403508771928,1
DuPage,Wheaton Village,56,7,0.125,1
Cook,Presence Villa Scalabrini Nursing&Rehab Center,56,6,0.10714285714285714,1
Cook,Sheridan Village,56,19,0.3392857142857143,1
Cook,Resurrection Nursing & rehab Center,56,9,0.16071428571428573,1
Jefferson,Nature Trail Health Care Center,56,8,0.14285714285714285,1
Lake,Warren Barr Lincolnshire,56,5,0.08928571428571429,1
DuPage,Brookdale Lisle,56,9,0.16071428571428573,2
Cook,Arden Courts of Palos Heights,55,10,0.18181818181818182,1
Pike,Barry Community Care,55,7,0.12727272727272726,1
Cook,ManorCare Health Services-Palos Heights West,55,16,0.2909090909090909,1
Cook,Alden Princeton Rehab & Health,54,12,0.2222222222222222,1
Rock Island,Generations of Rock Island,54,15,0.2777777777777778,1
Cook,Park View Rehab,54,11,0.2037037037037037,1
Peoria,Christian Buehler Home,54,6,0.1111111111111111,1
Cook,Winston Manor,54,8,0.14814814814814814,2
Peoria,University Rehab Center,54,16,0.2962962962962963,1
Madison,Alton Mental Health Center,53,0,0.0,1
Sangamon,Aperion Care Springfield,53,0,0.0,1
Cook,Aperion Care Forest Park,53,6,0.11320754716981132,2
Christian,Taylorville Skilled Nursing (fka Meadow Manor),53,4,0.07547169811320754,1
DuPage,Arista Healthcare Naperville,52,1,0.019230769230769232,3
St. Clair,Memorial Care Center,52,8,0.15384615384615385,2
Cook,Manor Care Health Services-Homewood,52,15,0.28846153846153844,1
Adams,Golden Good Shepperd Home,52,8,0.15384615384615385,1
DuPage,Tabor Hills Healthcare,52,7,0.1346153846153846,3
Cook,Palos Heights Nursing and Rehab,52,10,0.19230769230769232,1
St. Clair,St. Pauls,51,14,0.27450980392156865,1
Kane,Fox River Rehab and Healthcare,51,15,0.29411764705882354,1
Iroquois,Ascension Presence Merkle Knipprath,51,4,0.0784313725490196,1
Lake,Whitehall North,51,5,0.09803921568627451,1
Wayne,Aperion Care,51,3,0.058823529411764705,1
Kane,Avondale Estates of Elgin,51,5,0.09803921568627451,1
Cook,Sunrise of Park Ridge,51,11,0.21568627450980393,2
Cook,Landmark of Richton Park,51,9,0.17647058823529413,2
Cook,The Admiral at the Lake,50,6,0.12,1
Kendall,Symphony At The Tillers of Oswego,50,9,0.18,1
Lake,Lexington of Lake Zurich,50,12,0.24,1
Jasper,Newton Care Center,50,8,0.16,1
Cook,All American Nursing Home,50,4,0.08,1
Rock Island,Aspen Rehab,50,10,0.2,1
Cook,Bethesda Rehab and Senior Care,49,6,0.12244897959183673,2
DuPage,Sunrise of Naperville North Assisted Living,49,0,0.0,1
Lake,Terrace Nursing Home,49,12,0.24489795918367346,1
Cook,The Grove of Northbrook,49,0,0.0,2
Cook,Pauls House,49,6,0.12244897959183673,1
Cook,Symphony of Crestwood,49,8,0.16326530612244897,1
Cook,Little Village Nursing Home,49,7,0.14285714285714285,2
Cook,Praire Oasis South Holland,49,14,0.2857142857142857,1
Cook,Lake Cook Rehab & Healthcare(formerly Rosewood),49,12,0.24489795918367346,1
McLean,Bickford of BLoomington,48,8,0.16666666666666666,1
Rock Island,Heartland Healthcare Center Moline,48,9,0.1875,1
Cook,Citadel of Northbrook,48,2,0.041666666666666664,1
DuPage,Aperion Care West Chicago,48,8,0.16666666666666666,2
McDonough,Heartland Health Care Center,48,15,0.3125,1
Cook,Three Crown Park ,48,8,0.16666666666666666,1
LaSalle,Illinois Veterans Home - LaSalle,47,0,0.0,2
Winnebago,Crimson Pointe Senior Living,47,12,0.2553191489361702,1
Clinton,Breese Nursing Home,47,7,0.14893617021276595,1
DuPage,Westmont Manor Health and Rehab Center,47,16,0.3404255319148936,1
Cook,Warren Barr South Loop,47,3,0.06382978723404255,1
Cook,The Carrington Linclonwood,46,4,0.08695652173913043,2
Lake,Radford Green at Sedgebrook,46,6,0.13043478260869565,1
Lake,Libertyville Manor,46,16,0.34782608695652173,1
McHenry,The Fountains at Crystal Lake,46,15,0.32608695652173914,1
Cook,Lincolnwood Place,46,15,0.32608695652173914,1
DuPage,Beacon Hill Lombard,46,6,0.13043478260869565,1
Cook,Westchester Health and Rehabilitation Center,46,12,0.2608695652173913,1
Union,Integrity of Cobden,45,7,0.15555555555555556,1
Fayette,Vandalia Rehabilitation and Health Care Center,45,4,0.08888888888888889,1
Adams,Illinois Veterans Home,45,2,0.044444444444444446,1
Cook,Transitional Care Arlington Hgts,45,7,0.15555555555555556,1
Lake,Manor Care of Libertyville,45,6,0.13333333333333333,2
Cook,Selfhelp Home,45,4,0.08888888888888889,2
DuPage,The Auberge at Naperville,45,1,0.022222222222222223,2
Whiteside,Resthave Care and Rehabilitation ,44,3,0.06818181818181818,1
DuPage,The Springs of Monarch Landing Skilled Nursing,44,1,0.022727272727272728,1
St. Clair,Swansea Rehabilitation and Health Care Center,44,9,0.20454545454545456,1
DuPage,Alden Valley Ridge,44,22,0.5,1
Clinton,Clinton Manor Living Facility,44,1,0.022727272727272728,2
Cook,Alden Estates of Orland Park,44,13,0.29545454545454547,1
St. Clair,Bria of Cahokia,44,3,0.06818181818181818,2
Cook,Clearbrook Center,44,7,0.1590909090909091,1
DuPage,Burgess Square Healthcare & Rehab Center,44,3,0.06818181818181818,2
DuPage,Lexington of Lombard,43,12,0.27906976744186046,1
Cook,Pearl of Rolling Meadows,43,4,0.09302325581395349,1
Shelby,Moweaqua Rehabilitation and Health Care,43,0,0.0,1
Will,Clarendale of Mokena,43,8,0.18604651162790697,2
Cumberland,Heartland Senior Living,43,3,0.06976744186046512,1
LaSalle,Aperion Care Marseilles,42,10,0.23809523809523808,1
Lake,Autumn Leaves of Gurnee,42,11,0.2619047619047619,1
DuPage,Artis Senior Living Elmhurst,42,20,0.47619047619047616,1
White,Wabash Christian Retirement,42,2,0.047619047619047616,1
Cook,Plymouth Place Senior Living,42,11,0.2619047619047619,1
Cook,Elevate Saint Andrew,42,9,0.21428571428571427,1
McHenry,Sheltered Village,42,9,0.21428571428571427,1
Lake,Captain James A Lovell FHCC CLC,41,6,0.14634146341463414,2
Lake,Kiley Development Center,41,1,0.024390243902439025,2
Jackson,Integrity Healthcare of Carbondale,41,5,0.12195121951219512,1
